Year,Life_expectancy
1960,65.6424
1961,66.4159
1962,67.0291
1963,67.4411
1964,67.6504
1965,67.6979
1966,67.6595
1967,67.6269
1968,67.6712
1969,67.8144
1970,68.0559
1971,68.5041
1972,68.4702
1973,69.0056
1974,69.4998
1975,69.6139
1976,69.6988
1977,69.742
1978,69.4805
1979,69.1532
1980,69.091
1981,69.3683
1982,69.5317
1983,69.7263
1984,69.6588
1985,69.7068
1986,69.4963
1987,69.2268
1988,69.388
1989,69.5307
1990,69.7412
1991,69.7844
1992,69.7844
1993,69.5634
1994,69.5098
1995,69.4561
1996,69.1049
1997,69.0049
1998,69.8073
1999,70.5122
2000,71.1634
2001,71.161
2002,71.0098
2003,71.3098
2004,71.5943
2005,71.8789
2006,72.1634
2007,72.5659
2008,72.5659
2009,73.3098
2010,73.4585
2011,74.4098
2012,74.4122
2013,75.0634
2014,75.0634
